[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4472 NAME:WMIRegistrationService.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:14716 NAME:steamwebhelper.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:13692 NAME:NVIDIA Overlay.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4480 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:36224 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:1412 NAME:dwm.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:5508 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5516 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:3472 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:34192 NAME:msedge.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:18836 NAME:OverwolfBrowser.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:7572 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:8600 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:3480 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:12700 NAME:steamwebhelper.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:15772 NAME:Zapret.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:3488 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:26024 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:32168 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:9644 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:8628 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5556 NAME:RzChromaConnectManager
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:34228 NAME:Spotify.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:22972 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:15816 NAME:dllhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:16844 NAME:OverwolfBrowser.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:9684 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:38356 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2520 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:30168 NAME:msedge.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1500 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:6628 NAME:dasHost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:10724 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:33252 NAME:msrdc.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1508 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:16872 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5608 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2548 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:6648 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:508 NAME:smss.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:20992 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:16900 NAME:BlueStacksServices.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:24068 NAME:WINWORD.EXE
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:7688 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:14860 NAME:steamwebhelper.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:7692 NAME:Discord.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:6676 NAME:Zapret.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:3604 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:19988 NAME:OverwolfHelper.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:8728 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:18968 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:24088 NAME:full-line-inference.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:27164 NAME:cef_server.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:18980 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:7716 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5680 NAME:RzChromaConnectServer
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:11824 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2620 NAME:Discord.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5692 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:7740 NAME:gamingservices.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:3648 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:7748 NAME:gamingservicesnet.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:13896 NAME:PhoneExperienceHost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:16972 NAME:OpenConsole.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:11852 NAME:RuntimeBroker.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:36428 NAME:logi_crashpad_handler.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:34384 NAME:msedge.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:596 NAME:winlogon.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:8788 NAME:vmmem
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:11860 NAME:CompPkgSrv.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:26196 NAME:vmwp.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1624 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:9816 NAME:taskhostw.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:15960 NAME:audiodg.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2664 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5736 NAME:RzDeviceManager
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:17008 NAME:BlueStacksServices.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:35444 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5748 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2680 NAME:BlueStacksServices.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:11896 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:6780 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:15996 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1664 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:3712 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:25224 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2704 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:8856 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5788 NAME:RzDiagnostic
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:9884 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1696 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:36512 NAME:Spotify.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:6820 NAME:UserOOBEBroker.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:15012 NAME:steamwebhelper.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1704 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5800 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:21164 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:3756 NAME:spoolsv.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:20144 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:12980 NAME:NVIDIA Overlay.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5812 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:4800 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:18112 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:17092 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1732 NAME:Discord.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1736 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:716 NAME:jhi_service.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2764 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:720 NAME:csrss.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5840 NAME:RzIoTDeviceManager
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2772 NAME:RzChromaStreamServer.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:19156 NAME:OverwolfBrowser.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1748 NAME:MoUsoCoreWorker.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:7892 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:6872 NAME:dllhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:13020 NAME:NVIDIA Overlay.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5852 NAME:conhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:31456 NAME:chrome.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:20192 NAME:dllhost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:26348 NAME:cef_server.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:10992 NAME:SecurityHealthService.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:15100 NAME:steamwebhelper.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:25340 NAME:cef_server.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1788 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:1796 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:2832 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:19216 NAME:svchost.exe
[2026-02-20 22:29:32] USER:Alena | EVENT:process_start | PID:5904 NAME:RzSmartlightingDeviceManager
